"","x"
"663",18.21
"664",18.88
"665",19.23
"666",19.59
"667",18.54
"668",18.88
"669",18.54
"670",18.88
"671",18.88
"672",18.54
"673",19.23
"674",19.23
"675",19.23
"676",19.23
"677",19.59
"678",19.23
"679",19.23
"680",19.23
"681",19.23
"682",19.59
"683",19.23
"684",19.23
"685",19.23
"686",19.23
"687",19.23
"688",19.58
"689",18.88
"690",19.58
"691",19.23
"692",17.33
"693",19.23
"694",18.88
"695",19.22
"696",19.22
"697",18.87
"698",19.22
"699",16.97
"700",16.97
"701",17.32
"702",17.32
"703",16.97
"704",16.97
"705",16.97
"706",16.97
"707",16.97
"708",16.97
"709",16.97
"710",16.97
"711",16.63
"712",16.63
"713",16.97
"714",16.3
"715",16.97
"716",16.63
"717",16.63
"718",15.3
"719",16.97
"720",16.97
"721",16.97
"722",16.97
"723",16.97
"724",16.63
"725",16.97
"726",16.62
"727",16.96
"728",16.96
"729",16.96
"730",15.29
"731",15.29
"732",15.29
"733",15.29
"734",15.29
"735",15.29
"736",15.29
"737",16.96
"738",16.62
"739",16.96
"740",16.96
"741",15.29
"742",15.29
"743",15.29
"744",15.29
"745",16.96
"746",16.96
"747",16.62
"748",16.96
"749",16.96
"750",16.62
"751",14.95
"752",16.96
"753",16.96
"754",16.62
"755",16.96
"756",16.96
"757",16.96
"758",16.61
"759",16.61
"760",16.95
"761",16.95
"762",16.95
"763",16.95
"764",16.95
"765",15.28
"766",15.28
"767",16.95
"768",16.95
"769",16.95
"770",16.95
"771",16.61
"772",16.95
"773",16.61
"774",16.95
"775",16.61
"776",16.95
"777",16.95
"778",16.95
"779",18.85
"780",16.95
"781",18.85
"782",16.95
"783",16.95
"784",16.61
"785",16.61
"786",16.95
"787",16.95
"788",16.61
"789",15.28
"790",16.6
"791",16.6
"792",16.6
"793",14.93
"794",14.93
"795",14.93
"796",16.6
"797",14.93
"798",14.93
"799",14.93
"800",14.93
"801",14.6
"802",14.93
"803",14.93
"804",14.93
"805",14.6
"806",14.6
"807",14.93
"808",14.93
"809",14.6
"810",14.6
"811",14.6
"812",14.6
"813",14.6
"814",14.6
"815",14.93
"816",14.59
"817",14.59
"818",14.59
"819",14.59
"820",13.12
"821",13.12
"822",13.12
"823",12.8
"824",13.12
"825",13.12
"826",13.12
"827",13.12
"828",13.12
"829",14.59
"830",14.59
"831",14.59
"832",14.59
"833",14.59
"834",14.59
"835",14.59
"836",14.59
"837",14.59
"838",14.59
"839",14.59
"840",14.59
"841",14.59
"842",14.59
"843",14.59
"844",14.59
"845",14.59
"846",14.59
"847",14.59
"848",14.92
"849",14.92
"850",14.92
"851",14.92
"852",16.59
"853",16.25
"854",14.58
"855",14.58
"856",16.25
"857",14.58
"858",14.58
"859",16.25
"860",16.25
"861",16.25
"862",16.25
"863",14.91
"864",16.25
"865",16.58
"866",16.25
"867",16.25
"868",16.25
"869",16.25
"870",16.58
"871",16.58
"872",16.58
"873",16.25
"874",16.25
"875",16.25
"876",16.58
"877",16.58
"878",16.25
"879",16.25
"880",16.25
"881",16.58
"882",16.24
"883",16.24
"884",16.24
"885",16.24
"886",14.9
"887",14.57
"888",14.57
"889",14.57
"890",14.57
"891",14.25
"892",14.57
"893",14.57
"894",14.57
"895",14.57
"896",14.57
"897",14.25
"898",14.25
"899",14.25
"900",14.25
"901",14.25
"902",14.25
"903",14.25
"904",14.25
"905",14.25
"906",14.24
"907",14.24
"908",14.24
"909",14.24
"910",12.77
"911",13.1
"912",13.43
"913",13.1
"914",14.57
"915",14.24
"916",14.24
"917",14.24
"918",14.24
"919",14.24
"920",14.24
"921",12.77
"922",12.77
"923",12.77
"924",14.24
"925",14.24
"926",14.24
"927",14.24
"928",12.77
"929",12.77
"930",12.77
"931",14.24
"932",14.24
"933",14.24
"934",14.56
"935",14.24
"936",14.56
"937",14.24
"938",14.24
"939",14.56
"940",14.23
"941",14.56
"942",14.56
"943",14.56
"944",14.23
"945",14.23
"946",14.23
"947",14.56
"948",14.23
"949",14.55
"950",14.55
"951",14.23
"952",14.55
"953",14.55
"954",14.23
"955",14.55
"956",14.55
"957",16.22
"958",14.55
"959",14.55
"960",14.23
"961",14.55
"962",14.23
"963",16.22
"964",16.22
"965",16.22
"966",16.22
"967",14.55
"968",14.55
"969",16.22
"970",16.22
"971",15.9
"972",16.22
"973",15.9
"974",16.22
"975",14.55
"976",14.22
"977",14.22
"978",14.55
"979",14.55
"980",14.22
"981",15.89
"982",15.89
"983",14.22
"984",14.22
"985",14.22
"986",14.22
"987",13.91
"988",13.91
"989",13.91
"990",14.22
"991",13.91
"992",13.91
"993",12.21
"994",12.44
